date,hour,prev-grid,cost-grid
2016-01-01,00:00:00,10000.0,22.39
2016-01-01,01:00:00,10000.0,20.59
2016-01-01,02:00:00,10000.0,16.81
2016-01-01,03:00:00,10000.0,17.41
2016-01-01,04:00:00,10000.0,17.02
2016-01-01,05:00:00,10000.0,15.86
2016-01-01,06:00:00,10000.0,18.16
2016-01-01,07:00:00,10000.0,17.73
2016-01-01,08:00:00,10000.0,19.77
2016-01-01,09:00:00,10000.0,23.75
2016-01-01,10:00:00,10000.0,26.03
2016-01-01,11:00:00,10000.0,27.06
2016-01-01,12:00:00,10000.0,26.59
2016-01-01,13:00:00,10000.0,25.0
2016-01-01,14:00:00,10000.0,20.06
2016-01-01,15:00:00,10000.0,19.43
2016-01-01,16:00:00,10000.0,24.57
2016-01-01,17:00:00,10000.0,33.11
2016-01-01,18:00:00,10000.0,35.34
2016-01-01,19:00:00,10000.0,33.07
2016-01-01,20:00:00,10000.0,29.52
2016-01-01,21:00:00,10000.0,30.1
2016-01-01,22:00:00,10000.0,24.57
2016-01-01,23:00:00,10000.0,22.2
2016-01-02,00:00:00,10000.0,16.57
2016-01-02,01:00:00,10000.0,15.35
2016-01-02,02:00:00,10000.0,12.77
2016-01-02,03:00:00,10000.0,11.27
2016-01-02,04:00:00,10000.0,11.91
2016-01-02,05:00:00,10000.0,12.62
2016-01-02,06:00:00,10000.0,14.17
2016-01-02,07:00:00,10000.0,17.73
2016-01-02,08:00:00,10000.0,20.29
2016-01-02,09:00:00,10000.0,24.3
2016-01-02,10:00:00,10000.0,25.05
2016-01-02,11:00:00,10000.0,29.31
2016-01-02,12:00:00,10000.0,26.31
2016-01-02,13:00:00,10000.0,22.63
2016-01-02,14:00:00,10000.0,19.61
2016-01-02,15:00:00,10000.0,20.65
2016-01-02,16:00:00,10000.0,34.21
2016-01-02,17:00:00,10000.0,42.23
2016-01-02,18:00:00,10000.0,37.36
2016-01-02,19:00:00,10000.0,32.84
2016-01-02,20:00:00,10000.0,26.15
2016-01-02,21:00:00,10000.0,30.62
2016-01-02,22:00:00,10000.0,36.19
2016-01-02,23:00:00,10000.0,19.65
2016-01-03,00:00:00,10000.0,18.91
2016-01-03,01:00:00,10000.0,14.64
2016-01-03,02:00:00,10000.0,10.12
2016-01-03,03:00:00,10000.0,7.14
2016-01-03,04:00:00,10000.0,9.41
2016-01-03,05:00:00,10000.0,4.14
2016-01-03,06:00:00,10000.0,7.08
2016-01-03,07:00:00,10000.0,11.4
2016-01-03,08:00:00,10000.0,17.64
2016-01-03,09:00:00,10000.0,19.99
2016-01-03,10:00:00,10000.0,22.11
2016-01-03,11:00:00,10000.0,22.68
2016-01-03,12:00:00,10000.0,22.0
2016-01-03,13:00:00,10000.0,19.89
2016-01-03,14:00:00,10000.0,17.75
2016-01-03,15:00:00,10000.0,18.76
2016-01-03,16:00:00,10000.0,22.21
2016-01-03,17:00:00,10000.0,26.76
2016-01-03,18:00:00,10000.0,27.23
2016-01-03,19:00:00,10000.0,25.33
2016-01-03,20:00:00,10000.0,22.11
2016-01-03,21:00:00,10000.0,22.57
2016-01-03,22:00:00,10000.0,21.01
2016-01-03,23:00:00,10000.0,13.78
2016-01-04,00:00:00,10000.0,13.44
2016-01-04,01:00:00,10000.0,11.46
2016-01-04,02:00:00,10000.0,5.55
2016-01-04,03:00:00,10000.0,5.0
2016-01-04,04:00:00,10000.0,10.05
2016-01-04,05:00:00,10000.0,19.11
2016-01-04,06:00:00,10000.0,31.44
2016-01-04,07:00:00,10000.0,36.31
2016-01-04,08:00:00,10000.0,33.46
2016-01-04,09:00:00,10000.0,33.24
2016-01-04,10:00:00,10000.0,35.09
2016-01-04,11:00:00,10000.0,35.0
2016-01-04,12:00:00,10000.0,35.0
2016-01-04,13:00:00,10000.0,34.94
2016-01-04,14:00:00,10000.0,34.92
2016-01-04,15:00:00,10000.0,38.0
2016-01-04,16:00:00,10000.0,41.21
2016-01-04,17:00:00,10000.0,42.95
2016-01-04,18:00:00,10000.0,41.96
2016-01-04,19:00:00,10000.0,34.94
2016-01-04,20:00:00,10000.0,30.66
2016-01-04,21:00:00,10000.0,30.0
2016-01-04,22:00:00,10000.0,23.9
2016-01-04,23:00:00,10000.0,25.03
2016-01-05,00:00:00,10000.0,24.42
2016-01-05,01:00:00,10000.0,22.34
2016-01-05,02:00:00,10000.0,21.5
2016-01-05,03:00:00,10000.0,20.0
2016-01-05,04:00:00,10000.0,23.53
2016-01-05,05:00:00,10000.0,28.96
2016-01-05,06:00:00,10000.0,38.32
2016-01-05,07:00:00,10000.0,41.45
2016-01-05,08:00:00,10000.0,40.72
2016-01-05,09:00:00,10000.0,40.66
2016-01-05,10:00:00,10000.0,40.33
2016-01-05,11:00:00,10000.0,38.25
2016-01-05,12:00:00,10000.0,36.98
2016-01-05,13:00:00,10000.0,34.91
2016-01-05,14:00:00,10000.0,33.5
2016-01-05,15:00:00,10000.0,35.1
2016-01-05,16:00:00,10000.0,42.44
2016-01-05,17:00:00,10000.0,42.94
2016-01-05,18:00:00,10000.0,42.92
2016-01-05,19:00:00,10000.0,38.35
2016-01-05,20:00:00,10000.0,34.42
2016-01-05,21:00:00,10000.0,32.99
2016-01-05,22:00:00,10000.0,32.0
2016-01-05,23:00:00,10000.0,26.62
2016-01-06,00:00:00,10000.0,25.58
2016-01-06,01:00:00,10000.0,24.59
2016-01-06,02:00:00,10000.0,22.5
2016-01-06,03:00:00,10000.0,23.16
2016-01-06,04:00:00,10000.0,24.99
2016-01-06,05:00:00,10000.0,26.62
2016-01-06,06:00:00,10000.0,38.92
2016-01-06,07:00:00,10000.0,41.96
2016-01-06,08:00:00,10000.0,40.96
2016-01-06,09:00:00,10000.0,39.13
2016-01-06,10:00:00,10000.0,40.08
2016-01-06,11:00:00,10000.0,40.73
2016-01-06,12:00:00,10000.0,38.26
2016-01-06,13:00:00,10000.0,35.44
2016-01-06,14:00:00,10000.0,36.92
2016-01-06,15:00:00,10000.0,41.28
2016-01-06,16:00:00,10000.0,44.95
2016-01-06,17:00:00,10000.0,46.9
2016-01-06,18:00:00,10000.0,43.95
2016-01-06,19:00:00,10000.0,39.94
2016-01-06,20:00:00,10000.0,32.4
2016-01-06,21:00:00,10000.0,33.51
2016-01-06,22:00:00,10000.0,30.11
2016-01-06,23:00:00,10000.0,26.41
2016-01-07,00:00:00,10000.0,26.05
2016-01-07,01:00:00,10000.0,24.93
2016-01-07,02:00:00,10000.0,22.39
2016-01-07,03:00:00,10000.0,22.32
2016-01-07,04:00:00,10000.0,24.2
2016-01-07,05:00:00,10000.0,31.0
2016-01-07,06:00:00,10000.0,42.47
2016-01-07,07:00:00,10000.0,42.97
2016-01-07,08:00:00,10000.0,41.93
2016-01-07,09:00:00,10000.0,41.62
2016-01-07,10:00:00,10000.0,41.5
2016-01-07,11:00:00,10000.0,40.66
2016-01-07,12:00:00,10000.0,40.33
2016-01-07,13:00:00,10000.0,36.51
2016-01-07,14:00:00,10000.0,33.49
2016-01-07,15:00:00,10000.0,34.19
2016-01-07,16:00:00,10000.0,40.66
2016-01-07,17:00:00,10000.0,40.8
2016-01-07,18:00:00,10000.0,42.1
2016-01-07,19:00:00,10000.0,36.5
2016-01-07,20:00:00,10000.0,34.5
2016-01-07,21:00:00,10000.0,33.49
2016-01-07,22:00:00,10000.0,28.76
2016-01-07,23:00:00,10000.0,24.36
2016-01-08,00:00:00,10000.0,19.33
2016-01-08,01:00:00,10000.0,16.1
2016-01-08,02:00:00,10000.0,15.0
2016-01-08,03:00:00,10000.0,15.0
2016-01-08,04:00:00,10000.0,18.14
2016-01-08,05:00:00,10000.0,25.21
2016-01-08,06:00:00,10000.0,36.46
2016-01-08,07:00:00,10000.0,39.53
2016-01-08,08:00:00,10000.0,37.69
2016-01-08,09:00:00,10000.0,37.66
2016-01-08,10:00:00,10000.0,36.91
2016-01-08,11:00:00,10000.0,36.13
2016-01-08,12:00:00,10000.0,36.13
2016-01-08,13:00:00,10000.0,32.99
2016-01-08,14:00:00,10000.0,32.08
2016-01-08,15:00:00,10000.0,37.16
2016-01-08,16:00:00,10000.0,45.0
2016-01-08,17:00:00,10000.0,46.97
2016-01-08,18:00:00,10000.0,40.09
2016-01-08,19:00:00,10000.0,34.61
2016-01-08,20:00:00,10000.0,31.52
2016-01-08,21:00:00,10000.0,32.5
2016-01-08,22:00:00,10000.0,36.1
2016-01-08,23:00:00,10000.0,31.11
2016-01-09,00:00:00,10000.0,29.0
2016-01-09,01:00:00,10000.0,24.3
2016-01-09,02:00:00,10000.0,23.23
2016-01-09,03:00:00,10000.0,21.96
2016-01-09,04:00:00,10000.0,22.45
2016-01-09,05:00:00,10000.0,23.07
2016-01-09,06:00:00,10000.0,25.0
2016-01-09,07:00:00,10000.0,32.11
2016-01-09,08:00:00,10000.0,37.12
2016-01-09,09:00:00,10000.0,36.13
2016-01-09,10:00:00,10000.0,35.76
2016-01-09,11:00:00,10000.0,34.06
2016-01-09,12:00:00,10000.0,31.54
2016-01-09,13:00:00,10000.0,27.92
2016-01-09,14:00:00,10000.0,27.0
2016-01-09,15:00:00,10000.0,30.5
2016-01-09,16:00:00,10000.0,36.99
2016-01-09,17:00:00,10000.0,36.8
2016-01-09,18:00:00,10000.0,35.0
2016-01-09,19:00:00,10000.0,29.0
2016-01-09,20:00:00,10000.0,25.01
2016-01-09,21:00:00,10000.0,25.1
2016-01-09,22:00:00,10000.0,22.28
2016-01-09,23:00:00,10000.0,15.58
2016-01-10,00:00:00,10000.0,19.05
2016-01-10,01:00:00,10000.0,16.96
2016-01-10,02:00:00,10000.0,12.75
2016-01-10,03:00:00,10000.0,10.81
2016-01-10,04:00:00,10000.0,10.85
2016-01-10,05:00:00,10000.0,9.85
2016-01-10,06:00:00,10000.0,13.47
2016-01-10,07:00:00,10000.0,16.24
2016-01-10,08:00:00,10000.0,19.41
2016-01-10,09:00:00,10000.0,20.12
2016-01-10,10:00:00,10000.0,21.85
2016-01-10,11:00:00,10000.0,22.93
2016-01-10,12:00:00,10000.0,21.24
2016-01-10,13:00:00,10000.0,20.53
2016-01-10,14:00:00,10000.0,21.45
2016-01-10,15:00:00,10000.0,23.92
2016-01-10,16:00:00,10000.0,26.58
2016-01-10,17:00:00,10000.0,35.0
2016-01-10,18:00:00,10000.0,33.0
2016-01-10,19:00:00,10000.0,30.66
2016-01-10,20:00:00,10000.0,26.89
2016-01-10,21:00:00,10000.0,26.93
2016-01-10,22:00:00,10000.0,23.12
2016-01-10,23:00:00,10000.0,21.95
2016-01-11,00:00:00,10000.0,20.04
2016-01-11,01:00:00,10000.0,19.78
2016-01-11,02:00:00,10000.0,19.36
2016-01-11,03:00:00,10000.0,19.56
2016-01-11,04:00:00,10000.0,21.67
2016-01-11,05:00:00,10000.0,28.5
2016-01-11,06:00:00,10000.0,41.61
2016-01-11,07:00:00,10000.0,45.93
2016-01-11,08:00:00,10000.0,44.0
2016-01-11,09:00:00,10000.0,41.94
2016-01-11,10:00:00,10000.0,41.96
2016-01-11,11:00:00,10000.0,37.96
2016-01-11,12:00:00,10000.0,36.24
2016-01-11,13:00:00,10000.0,33.57
2016-01-11,14:00:00,10000.0,31.0
2016-01-11,15:00:00,10000.0,32.0
2016-01-11,16:00:00,10000.0,37.21
2016-01-11,17:00:00,10000.0,42.88
2016-01-11,18:00:00,10000.0,40.0
2016-01-11,19:00:00,10000.0,33.09
2016-01-11,20:00:00,10000.0,30.26
2016-01-11,21:00:00,10000.0,33.18
2016-01-11,22:00:00,10000.0,28.1
2016-01-11,23:00:00,10000.0,21.51
2016-01-12,00:00:00,10000.0,19.81
2016-01-12,01:00:00,10000.0,19.1
2016-01-12,02:00:00,10000.0,15.74
2016-01-12,03:00:00,10000.0,13.78
2016-01-12,04:00:00,10000.0,20.19
2016-01-12,05:00:00,10000.0,24.38
2016-01-12,06:00:00,10000.0,35.92
2016-01-12,07:00:00,10000.0,40.5
2016-01-12,08:00:00,10000.0,41.0
2016-01-12,09:00:00,10000.0,38.66
2016-01-12,10:00:00,10000.0,36.46
2016-01-12,11:00:00,10000.0,35.0
2016-01-12,12:00:00,10000.0,33.3
2016-01-12,13:00:00,10000.0,32.21
2016-01-12,14:00:00,10000.0,33.0
2016-01-12,15:00:00,10000.0,36.08
2016-01-12,16:00:00,10000.0,41.94
2016-01-12,17:00:00,10000.0,46.99
2016-01-12,18:00:00,10000.0,45.39
2016-01-12,19:00:00,10000.0,38.08
2016-01-12,20:00:00,10000.0,30.51
2016-01-12,21:00:00,10000.0,29.93
2016-01-12,22:00:00,10000.0,26.24
2016-01-12,23:00:00,10000.0,21.0
2016-01-13,00:00:00,10000.0,19.66
2016-01-13,01:00:00,10000.0,18.13
2016-01-13,02:00:00,10000.0,15.76
2016-01-13,03:00:00,10000.0,18.05
2016-01-13,04:00:00,10000.0,20.83
2016-01-13,05:00:00,10000.0,29.88
2016-01-13,06:00:00,10000.0,46.83
2016-01-13,07:00:00,10000.0,47.05
2016-01-13,08:00:00,10000.0,47.39
2016-01-13,09:00:00,10000.0,46.82
2016-01-13,10:00:00,10000.0,46.5
2016-01-13,11:00:00,10000.0,45.8
2016-01-13,12:00:00,10000.0,41.34
2016-01-13,13:00:00,10000.0,39.02
2016-01-13,14:00:00,10000.0,37.44
2016-01-13,15:00:00,10000.0,39.58
2016-01-13,16:00:00,10000.0,43.0
2016-01-13,17:00:00,10000.0,50.07
2016-01-13,18:00:00,10000.0,49.98
2016-01-13,19:00:00,10000.0,41.1
2016-01-13,20:00:00,10000.0,34.15
2016-01-13,21:00:00,10000.0,38.09
